adm4Pcode,adm4NameLa,adm3NameLa,adm2NameLa,adm1NameLa,Population,codeName_3,POINT_X,POINT_Y
UKR1412365300,Sartana,Sartanska,Mariupolska,Donetska,10783,urban type village,37.69061198,47.17644317
UKR1421555101,Bakhchovyk,Andriivska,Volnovaskyi,Donetska,544,village,37.68298929,47.47679786
UKR1421589002,Vodiane,Kominternivska,Volnovaskyi,Donetska,19,village,37.7851325,47.14859541
UKR1421589203,Kamianka,Novoselivska,Volnovaskyi,Donetska,1050,village,37.69692081,47.42015666
UKR1421589202,Zaporizke,Novoselivska,Volnovaskyi,Donetska,85,village,37.65336523,47.37996693
UKR1421587701,Starohnativka,Starohnativska,Volnovaskyi,Donetska,2100,village,37.77988724,47.5412065
UKR1421555100,Andriivka,Andriivska,Volnovaskyi,Donetska,888,urban type village,37.65584647,47.46095204
UKR1421555102,Druzhne,Andriivska,Volnovaskyi,Donetska,90,village,37.62830174,47.44158651
UKR1421588801,Hranitne,Hranitnenska,Volnovaskyi,Donetska,615,village,37.86436241,47.45818731
UKR1421583702,Kalynivka,Lebedynska,Volnovaskyi,Donetska,929,village,37.6671485,47.14655707
UKR1421555103,Obilne,Andriivska,Volnovaskyi,Donetska,159,village,37.72060181,47.45333781
UKR1421589204,Malovodne,Novoselivska,Volnovaskyi,Donetska,98,village,37.67712272,47.36952291
UKR1421588402,Berdianske,Shyrokynska,Volnovaskyi,Donetska,228,village,37.78425506,47.08977384
UKR1421588203,Fedorivka,Chermalytska,Volnovaskyi,Donetska,40,village,37.71988063,47.35900066
UKR1421583701,Lebedynske,Lebedynska,Volnovaskyi,Donetska,718,village,37.75159404,47.12662761
UKR1421585802,Pyshchevyk,Pavlopilska,Volnovaskyi,Donetska,41,village,37.79243691,47.24123988
UKR1421588201,Chermalyk,Chermalytska,Volnovaskyi,Donetska,1908,village,37.80574627,47.31590762
UKR1421585803,Chernenko,Pavlopilska,Volnovaskyi,Donetska,16,village,37.74742838,47.22649203
UKR1421589201,Novoselivka,Novoselivska,Volnovaskyi,Donetska,976,village,37.73327415,47.40338654
UKR1421589205,Novoselivka Druha,Novoselivska,Volnovaskyi,Donetska,439,village,37.7580445,47.38154127
UKR1421588802,Staromarivka,Hranitnenska,Volnovaskyi,Donetska,305,village,37.8739255,47.43563088
UKR1421588202,Orlovske,Chermalytska,Volnovaskyi,Donetska,0,village,37.74453843,47.26093932
UKR1421587702,Novohryhorivka,Starohnativska,Volnovaskyi,Donetska,113,village,37.8293875,47.50179558
UKR1421589001,Pikuzy,Kominternivska,Volnovaskyi,Donetska,606,village,37.8136785,47.17368864
UKR1421589206,Stepanivka,Novoselivska,Volnovaskyi,Donetska,361,village,37.634886,47.36595689
UKR1421556600,Myrne,Myrnenska,Volnovaskyi,Donetska,1835,urban type village,37.73227913,47.42632829
UKR1421585801,Pavlopil,Pavlopilska,Volnovaskyi,Donetska,620,village,37.78110734,47.26294606
UKR1421588401,Shyrokyne,Shyrokynska,Volnovaskyi,Donetska,1411,village,37.81823345,47.09943251
UKR1421583703,Sopyne,Lebedynska,Volnovaskyi,Donetska,282,village,37.75820073,47.09038977
UKR1421589004,Zaichenko,Kominternivska,Volnovaskyi,Donetska,311,village,37.86261538,47.18335747
UKR1420955100,Bulavynske,Bulavynska,Bakhmutskyi,Donetska,3786,urban type village,38.34159469,48.25022592
UKR1420956009,Ridkodub,Olkhovatska,Bakhmutskyi,Donetska,71,village,38.52107368,48.2677349
UKR1420910209,Savelivka,Vuhlehirska,Bakhmutskyi,Donetska,825,village,38.34318119,48.2904044
UKR1420985201,Debaltsivske,Komunivska,Bakhmutskyi,Donetska,679,village,38.375247,48.32906539
UKR1420956001,Vesela Dolyna,Olkhovatska,Bakhmutskyi,Donetska,5,village,38.43040943,48.21138265
UKR1420956000,Olkhovatka,Olkhovatska,Bakhmutskyi,Donetska,3129,urban type village,38.39242316,48.24021866
UKR1420955600,Oleksandrivske,Bulavynska,Bakhmutskyi,Donetska,2003,urban type village,38.28413403,48.27448617
UKR1420955800,Olenivka,Bulavynska,Bakhmutskyi,Donetska,964,urban type village,38.25715067,48.26382563
UKR1420956200,Pryberezhne,Bulavynska,Bakhmutskyi,Donetska,168,urban type village,38.32204854,48.25599044
UKR1425285606,Ridkodub,Nikishynska,Shakhtarskyi,Donetska,26,village,38.52359624,48.26777941
UKR1414800000,Vuhledar,Vuhledarska,Vuhledarska,Donetska,15357,city,37.24622058,47.7801387
UKR1423385801,Novoukrainka,Novoukrainska,Marinskyi,Donetska,1523,village,37.10495212,47.83458873
UKR1423386301,Pavlivka,Pavlivska,Marinskyi,Donetska,2505,village,37.21844879,47.75551723
UKR1420910207,Stupakove,Vuhlehirska,Bakhmutskyi,Donetska,58,village,38.30724372,48.28458252
UKR1420910200,Vuhlehirsk,Vuhlehirska,Bakhmutskyi,Donetska,7868,city,38.27167753,48.31337816
UKR1420910203,Hrozne,Vuhlehirska,Bakhmutskyi,Donetska,90,village,38.31084536,48.2939346
UKR1420956005,Illinka,Olkhovatska,Bakhmutskyi,Donetska,272,village,38.41663475,48.25968323
UKR1420956007,Kamianka,Olkhovatska,Bakhmutskyi,Donetska,742,village,38.4811525,48.24433741
UKR1420910205,Kaiutyne,Vuhlehirska,Bakhmutskyi,Donetska,213,village,38.23525911,48.30041837
UKR1420956003,Danylove,Olkhovatska,Bakhmutskyi,Donetska,12,village,38.47359497,48.2229611
UKR1410200000,Avdiivka,Avdiivska,Avdiivska,Donetska,35128,city,37.74098174,48.14902064
UKR1420610100,Amvrosiivka,Amvrosiivska,Amvrosiivskyi,Donetska,18832,city,38.48305601,47.78988673
UKR1415500000,Yasynuvata,Yasynuvatska,Yasynuvatska,Donetska,35836,city,37.86068629,48.12857663
UKR1423356200,Staromykhailivka,Staromykhailivska,Marinskyi,Donetska,5411,urban type village,37.58643361,47.99565568
UKR1415346000,Serdyte,Serdytenska,Shakhtarska,Donetska,1934,urban type village,38.38806648,48.04019259
UKR1421583001,Kalynove,Kalynivska,Volnovaskyi,Donetska,698,village,37.46676998,47.45770712
UKR1421588001,Khlibodarivka,Khlibodarivska,Volnovaskyi,Donetska,1296,village,37.39922793,47.4797282
UKR1421286601,Shevchenko,Shevchenkivska,Velykonovosilkivskyi,Donetska,1200,village,36.675586,47.89885987
UKR1414445300,Andriivka,Andriivska,Snizhnianska,Donetska,2215,urban type village,38.7514758,48.10273395
UKR1423310100,Marinka,Marinska,Marinskyi,Donetska,9913,city,37.50935516,47.94327628
UKR1414448000,Sieverne,Sieverna,Snizhnianska,Donetska,10034,urban type village,38.6846846,48.08560882
UKR1423655400,Siedove,Siedovska,Novoazovskyi,Donetska,2691,urban type village,38.1581506,47.07319964
UKR1421583101,Dianivka,Kirovska,Volnovaskyi,Donetska,1026,village,37.4042435,47.42680949
