Adm2TYPE,Raion_Name_Eng,Oblast_Name,KOATUU,IDP_3/1/2018,IDP_4/2/2018,IDP_5/3/2018,IDP_6/7/2018,IDP_7/5/2018,IDP_8/2/2018,IDP_9/6/2018,IDP_10/4/2018,IDP_11/1/2018,IDP_12/6/2018,SrSumm
City Council,Lysychanska,Luhanska,4411800000,18741,18693,18477,18234,18108,18098,17282,16921,16988,16419,17796
City Council,Rubizhanska,Luhanska,4412500000,6140,6060,5965,5860,5812,5773,5567,5593,5594,5642,5801
City Council,Sievierodonetska,Luhanska,4412900000,51033,50988,51181,51324,51388,51433,48439,48595,48722,48549,50165
Raion,Bilovodskyi,Luhanska,4420600000,47586,47472,47403,47347,47352,45482,43450,39011,37387,35531,43802
Raion,Bilokurakynskyi,Luhanska,4420900000,10213,9913,9895,9826,9941,9938,8721,8503,8233,7964,9315
Raion,Kreminskyi,Luhanska,4421600000,21330,21281,21189,21229,21212,21196,20545,20494,20345,20234,20906
Raion,Markivskyi,Luhanska,4422500000,26993,27163,27909,28284,28472,28559,27640,27689,27686,27593,27799
Raion,Milovskyi,Luhanska,4422800000,16500,16398,16546,16739,16844,16912,16412,16380,16421,16406,16556
Raion,Novopskovskyi,Luhanska,4423300000,10019,10162,10245,10411,10454,10470,9989,10036,10145,10308,10224
Raion,Novoaidarskyi,Luhanska,4423100000,17067,17108,17264,17348,17405,17417,17069,17130,16713,16967,17149
Raion,Popasnianskyi,Luhanska,4423800000,10661,10730,10824,10885,10957,10937,10514,10516,9049,9152,10423
Raion,Svativskyi,Luhanska,4424000000,7732,7786,7959,8074,8126,7930,7741,7747,7730,7686,7851
Raion,Starobilskyi,Luhanska,4425100000,29696,29224,29797,29933,30005,30079,26276,26352,26399,26913,28467
Raion,Troitskyi,Luhanska,4425400000,3365,3335,3378,3423,3449,3461,3382,3406,3425,3383,3401
Raion,Stanychno-Luhanskyi,Luhanska,4424800000,14094,14187,14159,14625,14812,15061,14879,14963,15244,15369,14739
