adm4Pcode,adm4NameLa,adm3NameLa,adm2NameLa,adm1NameLa,Population,codeName_3,POINT_X,POINT_Y
UKR4422286601,Rozkishne,Rozkishnianska,Lutuhynskyi,Luhanska,6482,village,39.27556721,48.49008688
UKR4422255300,Bile,Bilivska,Lutuhynskyi,Luhanska,6512,urban type village,39.05272953,48.49845313
UKR4423858502,Mius,Chornukhynska,Popasnianskyi,Luhanska,139,village,38.54799301,48.29104856
UKR4423187703,Orikhove-Donetske,Trokhizbenska,Novoaidarskyi,Luhanska,69,village,38.80330617,48.77046328
UKR4423187704,Lopaskyne,Trokhizbenska,Novoaidarskyi,Luhanska,138,village,39.032987,48.66821845
UKR4423187705,Lobacheve,Trokhizbenska,Novoaidarskyi,Luhanska,0,village,39.1164565,48.66105925
UKR4423187702,Kriakivka,Trokhizbenska,Novoaidarskyi,Luhanska,470,village,38.8895385,48.76930185
UKR4423183601,Krymske,Krymska,Novoaidarskyi,Luhanska,1676,village,38.80676725,48.7480148
UKR4423183602,Prychepylivka,Krymska,Novoaidarskyi,Luhanska,5,village,38.69187142,48.75747684
UKR4423857701,Zholobok,Nyzhnenska,Popasnianskyi,Luhanska,153,village,38.69914035,48.71370464
UKR4423187701,Trokhizbenka,Trokhizbenska,Novoaidarskyi,Luhanska,2920,village,38.9643895,48.75704646
UKR4423183603,Sokilnyky,Krymska,Novoaidarskyi,Luhanska,377,village,38.8694505,48.7473601
UKR4421455700,Myrne,Myrnenska,Sorokynskyi,Luhanska,385,urban type village,39.65257286,48.28405108
UKR4422855100,Milove,Milovska,Milovskyi,Luhanska,5944,urban type village,40.12647115,49.37628805
UKR4425455100,Troitske,Troitska,Troitskyi,Luhanska,7906,urban type village,38.30163073,49.91531938
UKR4422256800,Uspenka,Uspenska,Lutuhynskyi,Luhanska,8895,urban type village,39.13967411,48.3981714
UKR4423184501,Muratove,Murativska,Novoaidarskyi,Luhanska,687,village,38.7378085,48.80326052
UKR4422883601,Musiivka,Musiivska,Milovskyi,Luhanska,923,village,39.85075935,49.23308666
